Name	Positions	NextGame	Salary	Min	PTs	Reb	Ast	Stl	Blk	DblDbl	TriDbl	TO	Value	AvgPts	ProjPts	IngameProj	ActPts
Cheick Diallo	(PF)	  10/24 @ POR 	$3,000	0.51	0.09	0.37	0.00	0.05	0.08	0%	0%	0.02	0.26	0.00	0.79	-	0.00
Damyean Dotson	(SG)	 10/24 @ BOS 	$3,000	0.66	0.15	0.29	0.07	0.06	0.02	0%	0%	0.12	0.24	0.00	0.73	-	0.00
Jake Layman	(SF/PF)	 10/24 vs NO 	$3,000	0.20	0.21	0.20	0.07	0.07	0.00	0%	0%	0.02	0.24	3.50	0.72	-	0.00
Antonio Blakeney	(PG)	   10/24 @ CLE 	$3,000	0.99	0.31	0.13	0.09	0.06	0.00	0%	0%	0.13	0.23	2.00	0.68	-	0.00
Jamil Wilson	(SF/PF)	    10/24 vs UTA    	$3,000	0.53	0.31	0.11	0.00	0.08	0.00	0%	0%	0.00	0.20	0.00	0.61	-	0.00
Jawun Evans	(PG)	    10/24 vs UTA    	$3,000	0.53	0.34	0.06	0.00	0.07	0.00	0%	0%	0.00	0.19	0.00	0.58	-	0.00
Jacob Wiley	(PG)	    10/24 @ ORL 	$3,000	0.00	0.00	0.26	0.07	0.06	0.00	0%	0%	0.03	0.18	0.00	0.55	-	0.00
Jalen Jones	(SF)	    10/24 @ POR 	$3,000	0.00	0.00	0.13	0.00	0.04	0.05	0%	0%	0.00	0.12	0.00	0.35	-	0.00
Joe Young	(PG/SG)	   10/24 @ MIN 	$3,000	0.39	0.10	0.06	0.01	0.10	0.00	0%	0%	0.11	0.12	5.75	0.35	-	0.00
Charles Cooke	(SG)	  10/24 @ POR 	$3,000	0.00	0.00	0.13	0.00	0.04	0.05	0%	0%	0.00	0.12	0.00	0.35	-	0.00
Tony Bradley	(PF/C)	 10/24 @ LAC 	$3,000	0.00	0.00	0.06	0.02	0.04	0.00	0%	0%	0.00	0.07	0.00	0.20	-	0.00
Jonas Jerebko	(SF/PF)	   10/24 @ LAC 	$3,500	0.00	0.00	0.00	0.00	0.05	0.00	0%	0%	0.00	0.03	0.00	0.10	-	0.00
